SamplingTimes,IPTG,Citrine,ErrorBar_Citrine
0,0.722841082990846,2.16178971199429,1.37215053877631
5,0.722841082990846,3.84582588150456,1.37215053877631
10,0.722841082990846,7.7615113900609,1.37215053877631
15,0.722841082990846,8.92629581139358,1.37215053877631
20,0.722841082990846,12.2790390325548,1.37215053877631
25,0.722841082990846,14.0617074613006,1.37215053877631
30,0.722841082990846,15.1147165019071,1.37215053877631
35,0.722841082990846,18.3920891811956,1.37215053877631
40,0.722841082990846,17.2404591980135,1.37215053877631
45,0.722841082990846,18.8208053687584,1.37215053877631
50,0.722841082990846,21.1167347827626,1.37215053877631
55,0.722841082990846,17.4703626484224,1.37215053877631
60,0.722841082990846,23.1714819446183,1.37215053877631
65,0.722841082990846,22.5262980059464,1.37215053877631
70,0.722841082990846,23.7370054167189,1.37215053877631
75,0.722841082990846,23.4831734237887,1.37215053877631
80,0.722841082990846,21.4130975590825,1.37215053877631
85,0.722841082990846,26.5623761523273,1.37215053877631
90,0.722841082990846,25.79121559592,1.37215053877631
95,0.722841082990846,24.7797655870868,1.37215053877631
100,0.722841082990846,27.0663708356087,1.37215053877631
105,0.722841082990846,25.8586536702854,1.37215053877631
110,0.722841082990846,23.836176694136,1.37215053877631
115,0.722841082990846,27.5325745120022,1.37215053877631
120,0.722841082990846,26.8118342735365,1.37215053877631
125,0.722841082990846,25.9246619739361,1.37215053877631
130,0.722841082990846,27.2521175020288,1.37215053877631
135,0.722841082990846,28.7683940823671,1.37215053877631
140,0.722841082990846,28.1282896569562,1.37215053877631
145,0.722841082990846,27.7499166846876,1.37215053877631
150,0.722841082990846,25.8775026850222,1.37215053877631
155,0.722841082990846,25.2787652570146,1.37215053877631
160,0.722841082990846,26.9745912214726,1.37215053877631
165,0.722841082990846,27.3546506655907,1.37215053877631
170,0.722841082990846,26.7554554435284,1.37215053877631
175,0.722841082990846,25.0145891813992,1.37215053877631
180,0.722841082990846,27.1712238931456,1.37215053877631
185,0.722841082990846,25.565272451993,1.37215053877631
190,0.722841082990846,26.9923904552479,1.37215053877631
195,0.722841082990846,27.4118569946552,1.37215053877631
200,0.722841082990846,26.9413441019321,1.37215053877631
205,0.722841082990846,30.2056331368404,1.37215053877631
210,0.722841082990846,25.0966532345108,1.37215053877631
215,0.722841082990846,29.7430707478889,1.37215053877631
220,0.722841082990846,26.9916563577742,1.37215053877631
225,0.722841082990846,27.6085936927721,1.37215053877631
230,0.722841082990846,29.584001055871,1.37215053877631
235,0.722841082990846,28.6006771606935,1.37215053877631
240,0.722841082990846,25.9192009833249,1.37215053877631
245,0.722841082990846,25.7149863345913,1.37215053877631
250,0.722841082990846,28.0428601376974,1.37215053877631
255,0.722841082990846,26.8969697135887,1.37215053877631
260,0.722841082990846,27.5835013063897,1.37215053877631
265,0.722841082990846,29.1298702173757,1.37215053877631
270,0.722841082990846,26.8233633386223,1.37215053877631
275,0.722841082990846,28.6513473017771,1.37215053877631
280,0.722841082990846,25.7763163884517,1.37215053877631
285,0.722841082990846,25.3041315598216,1.37215053877631
290,0.722841082990846,26.1040876537003,1.37215053877631
295,0.722841082990846,27.8631832904187,1.37215053877631
300,0.722841082990846,28.2534594709585,1.37215053877631
305,0.722841082990846,25.8301025821382,1.37215053877631
310,0.722841082990846,27.4205298059643,1.37215053877631
315,0.722841082990846,26.7397458512184,1.37215053877631
320,0.722841082990846,27.733422672586,1.37215053877631
325,0.722841082990846,27.173194716072,1.37215053877631
330,0.722841082990846,27.7763590042991,1.37215053877631
335,0.722841082990846,28.76274787989,1.37215053877631
340,0.722841082990846,29.6337320617717,1.37215053877631
